email,lastName,firstName,dob,gender,role,faculty
user1@example.com,Nguyễn Văn,Anh,2002-02-10,Nam,ROLE_STUDENT,1
user2@example.com,Trần Thị,Diệu,2003-04-15,Nữ,ROLE_STUDENT,1
user3@example.com,Phạm Đình,Quân,2002-07-20,Nam,ROLE_STUDENT,1
user4@example.com,Lê Thị,Thu,2003-10-25,Nữ,ROLE_STUDENT,1
user5@example.com,Hoàng Văn,Tài,2004-01-30,Nam,ROLE_STUDENT,1
user6@example.com,Nguyễn Thị,Phương,2002-03-05,Nữ,ROLE_STUDENT,1
user7@example.com,Trần Văn,Đức,2003-05-10,Nam,ROLE_STUDENT,1
user8@example.com,Phạm Thị,Bảo,2002-08-15,Nữ,ROLE_STUDENT,1
user9@example.com,Lê Văn,Hùng,2003-11-20,Nam,ROLE_STUDENT,1
user10@example.com,Hoàng Thị,Lan,2004-02-25,Nữ,ROLE_STUDENT,1
user11@example.com,Nguyễn Văn,Sơn,2002-03-10,Nam,ROLE_STUDENT,1
user12@example.com,Trần Văn,Quang,2003-06-15,Nam,ROLE_STUDENT,1
user13@example.com,Phạm Thị,Hà,2002-09-20,Nữ,ROLE_STUDENT,1
user14@example.com,Lê Thị,Thuận,2003-12-25,Nữ,ROLE_STUDENT,1
user15@example.com,Hoàng Văn,Phát,2004-03-30,Nam,ROLE_STUDENT,1
user16@example.com,Nguyễn Văn,Tuấn,2002-04-05,Nam,ROLE_STUDENT,1
user17@example.com,Trần Thị,Bình,2003-07-10,Nữ,ROLE_STUDENT,1
user18@example.com,Phạm Thị,Trang,2002-10-15,Nữ,ROLE_STUDENT,1
user19@example.com,Lê Thị,Phương,2003-01-20,Nữ,ROLE_STUDENT,1
user20@example.com,Hoàng Văn,Đại,2004-04-25,Nam,ROLE_STUDENT,1
user21@example.com,Nguyễn Văn,Quân,2002-05-10,Nam,ROLE_STUDENT,1
user22@example.com,Trần Văn,Minh,2003-08-15,Nam,ROLE_STUDENT,1
user23@example.com,Phạm Thị,Nga,2002-11-20,Nữ,ROLE_STUDENT,1
user24@example.com,Lê Văn,Đức,2003-02-25,Nam,ROLE_STUDENT,1
user25@example.com,Hoàng Thị,Linh,2004-05-30,Nữ,ROLE_STUDENT,1
user26@example.com,Nguyễn Văn,Khoa,2002-06-05,Nam,ROLE_STUDENT,1
user27@example.com,Trần Thị,Mai,2003-09-10,Nữ,ROLE_STUDENT,1
user28@example.com,Phạm Đình,Quang,2002-12-15,Nam,ROLE_STUDENT,1
user29@example.com,Lê Thị,Hoa,2003-03-20,Nữ,ROLE_STUDENT,1
user30@example.com,Hoàng Văn,Việt,2004-06-25,Nam,ROLE_STUDENT,1
